,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
2362,SELINA FLOWERS,SMB (AM Segment),20.0%,1,0.0%,€48.55,20.0%,8,0.0%,€44.33
2363,BOOMFOOD,SMB (AM Segment),20.0%,2,0.0%,€12.51,20.0%,1,0.0%,€17.69
2364,GOPACHOK,SMB (AM Segment),20.0%,4,0.0%,€10.10,20.0%,6,0.0%,€12.77
2365,REPTO BOUTIQUE,SMB (AM Segment),20.0%,2,0.0%,€4.81,20.0%,1,0.0%,€3.93
2366,RESTORATSIIA FAITA,SMB (AM Segment),20.0%,3,0.0%,€13.81,20.0%,1,0.0%,€8.41
2367,ONE SAY,SMB (AM Segment),20.0%,1,0.0%,€56.49,19.8%,20,0.0%,€63.36
2368,CASA NUOVA RVN,Missing Segment,20.0%,4,0.0%,€9.54,,,,
2369,SPRAGA,Mid-market (AM Segment),20.0%,87,0.0%,€8.48,20.0%,98,0.0%,€8.40
2370,NO TABOO,Enterprise (AM Segment),20.0%,1,0.0%,€12.31,20.0%,1,0.0%,€14.89
2371,TAVERNA EL PASO RIVNE,SMB (AM Segment),20.0%,5,0.0%,€8.82,20.0%,14,0.0%,€10.79
2372,RAMEN MO,SMB (AM Segment),20.0%,80,0.0%,€14.90,20.0%,105,0.0%,€12.78
2373,KAVKAZSKIY DVIR,SMB (AM Segment),20.0%,20,0.0%,€18.49,20.0%,18,0.0%,€18.20
2374,MYASO V BOKALI,SMB (AM Segment),20.0%,9,0.0%,€23.36,20.0%,4,0.0%,€14.10
2375,CHICHILAKI,SMB (AM Segment),20.0%,7,0.0%,€15.54,20.0%,6,0.0%,€19.52
2376,I LOVE KEBAB,SMB (AM Segment),20.0%,55,0.0%,€9.72,20.0%,69,0.0%,€10.91
2377,OFFSIDE,SMB (AM Segment),20.0%,5,0.0%,€12.73,20.0%,7,0.0%,€14.01
2378,KILOGRAM CHE,Missing Segment,20.0%,7,0.0%,€14.87,20.0%,10,0.0%,€14.35
2379,DARLY,SMB (AM Segment),20.0%,1,0.0%,€5.16,20.0%,1,0.0%,€18.58
2380,JOHNNY DON'T CRY,SMB (AM Segment),20.0%,5,0.0%,€13.93,20.0%,5,0.0%,€13.20
2381,LULYA GRILL-BISTRO,SMB (AM Segment),20.0%,5,0.0%,€15.00,20.0%,2,0.0%,€23.22
2382,NEW YORK STREET PIZZA ZHT,SMB (AM Segment),20.0%,5,0.0%,€8.72,20.0%,13,0.0%,€12.43
2383,NINJA BAR,SMB (AM Segment),20.0%,17,0.0%,€24.45,19.4%,17,0.0%,€26.16
2384,PASTA LA VISTA BABY,SMB (AM Segment),20.0%,14,0.0%,€12.08,20.0%,17,0.0%,€14.64
2385,SEVEN DOGS,SMB (AM Segment),20.0%,9,0.0%,€10.81,20.0%,13,0.0%,€13.81
2386,PATTY,Mid-market (AM Segment),20.0%,22,0.0%,€15.86,20.6%,21,0.0%,€18.97
2387,PYVOTEKA ODESA,SMB (AM Segment),20.0%,12,0.0%,€9.33,20.0%,14,0.0%,€9.66
2388,DIMPYVA,Enterprise (AM Segment),20.0%,65,0.0%,€8.86,20.0%,64,0.0%,€8.64
2389,CHILL TIME,Mid-market (AM Segment),20.0%,57,0.0%,€9.12,20.0%,67,0.0%,€8.05
2390,FRANYK,Mid-market (AM Segment),20.0%,121,0.0%,€20.96,20.0%,147,0.0%,€22.81
2391,BEER MARKET,Enterprise (AM Segment),20.0%,587,0.0%,€9.61,20.0%,548,0.0%,€9.72
2392,BEERWIEL,SMB (AM Segment),20.0%,2,0.0%,€9.42,20.0%,5,0.0%,€7.56
2393,BOHLIB,SMB (AM Segment),20.0%,2,0.0%,€7.80,20.0%,6,0.0%,€11.02
2394,BUFFET MYASO BYLKA,SMB (AM Segment),20.0%,5,0.0%,€13.16,20.0%,3,0.0%,€12.21
2395,FLEUR DELICATE,SMB (AM Segment),20.0%,1,0.0%,€30.76,,,,
2396,NEPTUNE ZHYT,SMB (AM Segment),20.0%,8,0.0%,€10.75,20.0%,11,0.0%,€13.02
2397,PIE SPOT BURGER CLUB,Mid-market (AM Segment),20.0%,17,0.0%,€15.67,20.0%,25,0.0%,€20.73
2398,PIENO PIANO RVN,Missing Segment,20.0%,1,0.0%,€9.84,20.0%,5,0.0%,€12.48
2399,SUSHI SALE,SMB (AM Segment),20.0%,1,0.0%,€18.48,20.0%,6,0.0%,€18.06
2400,NL FLOWER SHOP,Mid-market (AM Segment),20.0%,7,0.0%,€42.43,,,,
2401,UMANPIVO,SMB (AM Segment),20.0%,5,0.0%,€8.63,20.0%,7,0.0%,€7.10
2402,KRUZHAK,Missing Segment,20.0%,9,0.0%,€18.64,20.0%,7,0.0%,€16.86
2403,DZHORDZHYNA,SMB (AM Segment),20.0%,9,0.0%,€18.02,20.0%,29,0.0%,€15.91
2404,KO-KO FAST FOOD,SMB (AM Segment),20.0%,7,0.0%,€11.06,,,,
2405,SOUL MATE'S,SMB (AM Segment),20.0%,6,0.0%,€23.30,20.0%,9,0.0%,€19.73
2406,BEER SOTA,SMB (AM Segment),20.0%,8,0.0%,€9.43,20.0%,5,0.0%,€13.83
2407,BURGER LOFT,SMB (AM Segment),20.0%,3,0.0%,€12.08,20.0%,4,0.0%,€12.47
2408,RICHIE'S HOUSE,SMB (AM Segment),20.0%,5,0.0%,€14.05,20.0%,9,0.0%,€13.41
2409,LEYLEK,SMB (AM Segment),20.0%,28,0.0%,€18.32,20.0%,59,0.0%,€23.71
2410,BOHEMIAN KINGS BEER,SMB (AM Segment),20.0%,5,0.0%,€10.51,20.0%,7,0.0%,€10.44
2411,PAPASHA,SMB (AM Segment),20.0%,15,0.0%,€8.84,20.0%,23,0.0%,€9.73
2412,APRI RVN,Missing Segment,20.0%,5,0.0%,€6.50,20.0%,5,0.0%,€14.35
2413,HAUS M DONER,SMB (AM Segment),20.0%,17,0.0%,€13.37,20.0%,12,0.0%,€11.24
2414,MARCHUK,SMB (AM Segment),20.0%,57,0.0%,€17.49,20.0%,78,0.0%,€18.55
2415,NA GIRCI RVN,Missing Segment,20.0%,6,0.0%,€9.22,20.0%,6,0.0%,€7.55
2416,YZHAK KH,SMB (AM Segment),20.0%,27,0.0%,€14.13,20.0%,27,0.0%,€15.08
2417,BILIY NALIV,SMB (AM Segment),20.0%,1,0.0%,€30.99,18.0%,2,0.0%,€13.54
2418,PAPAS PIZZA CHE,SMB (AM Segment),20.0%,1,0.0%,€13.74,,,,
2419,AVALON SUSHI,SMB (AM Segment),20.0%,1,0.0%,€27.43,20.0%,1,0.0%,€26.99
2420,KAPLYCHKA,SMB (AM Segment),20.0%,3,0.0%,€14.61,20.0%,4,0.0%,€13.03
2421,PEROGI,Mid-market (AM Segment),20.0%,1,0.0%,€34.11,,,,
2422,MATSONI,SMB (AM Segment),20.0%,4,0.0%,€13.80,20.0%,3,0.0%,€16.91
2423,SUSHI ROLLS KR,SMB (AM Segment),20.0%,1,0.0%,€22.26,20.0%,3,0.0%,€13.81
2424,MANGAL GRILL-BAR,SMB (AM Segment),20.0%,23,0.0%,€13.13,20.0%,22,0.0%,€12.45
2425,GRIFEL,SMB (AM Segment),20.0%,7,0.0%,€10.27,20.0%,7,0.0%,€22.00
2426,WINE GALLERY,SMB (AM Segment),20.0%,4,0.0%,€10.25,20.0%,6,0.0%,€15.04
2427,GOGOL MOGOL,SMB (AM Segment),20.0%,8,0.0%,€12.05,20.0%,14,0.0%,€16.62
2428,LIME FLOWERS&DECOR,SMB (AM Segment),20.0%,1,0.0%,€22.36,20.0%,11,0.0%,€25.55
2429,OKKO CAFE,Mid-market (AM Segment),20.0%,460,0.0%,€11.57,20.0%,463,0.0%,€11.32
2430,OKKO CAFÉ,Mid-market (AM Segment),20.0%,56,0.0%,€11.14,20.0%,63,0.0%,€12.13
2431,DANIEL KPD,SMB (AM Segment),20.0%,14,0.0%,€13.52,20.0%,11,0.0%,€15.20
2432,BARBEKYU MENYU VID ASAP,Enterprise (AM Segment),20.0%,200,100.0%,€20.61,20.1%,246,100.0%,€20.82
2433,JORD,SMB (AM Segment),19.8%,19,0.0%,€19.59,20.1%,25,0.0%,€19.88
2434,JAPAN HI,Mid-market (AM Segment),19.5%,69,100.0%,€35.57,19.1%,86,100.0%,€34.37
2435,VRYBAI,SMB (AM Segment),19.5%,4,0.0%,€29.33,20.0%,4,0.0%,€35.71
2436,THAI HI,Mid-market (AM Segment),19.3%,92,100.0%,€23.58,19.4%,113,100.0%,€27.13
2437,CHINAHI,Mid-market (AM Segment),19.3%,144,100.0%,€25.94,19.2%,172,100.0%,€25.58
2438,1001 CHEBUREK,Mid-market (AM Segment),19.3%,22,0.0%,€18.47,20.3%,17,0.0%,€17.11
2439,NYAM BY VARUS.UA,Enterprise (AM Segment),19.3%,53,100.0%,€20.81,19.7%,57,100.0%,€20.30
2440,RAMEN & NOODLE,Enterprise (AM Segment),19.3%,8,0.0%,€21.88,19.4%,8,0.0%,€19.30
2441,OHMYPIZZA,Mid-market (AM Segment),19.0%,7,0.0%,€15.11,19.0%,10,0.0%,€14.08
2442,PIZZA MANIA PLT,SMB (AM Segment),18.9%,5,0.0%,€11.69,18.6%,4,0.0%,€16.68
2443,FLOWER SHOP,Mid-market (AM Segment),18.5%,4,0.0%,€80.49,18.2%,32,0.0%,€41.65
2444,TRATTORIA,Mid-market (AM Segment),18.5%,92,34.0%,€19.52,18.1%,114,15.8%,€17.66
2445,OSTERIA KORLEONE,SMB (AM Segment),18.1%,1,0.0%,€29.67,18.0%,3,0.0%,€17.70
2446,BANDOS,SMB (AM Segment),18.0%,7,0.0%,€16.56,18.0%,2,0.0%,€20.04
2447,EBI SUSHI,SMB (AM Segment),18.0%,13,0.0%,€24.86,18.0%,15,0.0%,€23.67
2448,BUFET,Mid-market (AM Segment),18.0%,"2,455",100.0%,€12.41,18.0%,"2,614",100.0%,€12.55
2449,SUSHI FISH DAY,SMB (AM Segment),18.0%,4,0.0%,€17.60,18.0%,6,0.0%,€15.78
2450,GOOD TIME,Mid-market (AM Segment),18.0%,204,0.0%,€11.23,18.0%,223,0.0%,€11.52
2451,PYANA VYSHNYA,Enterprise (AM Segment),18.0%,8,0.0%,€15.87,18.0%,10,0.0%,€17.63
2452,WINETIME,Mid-market (AM Segment),18.0%,65,0.0%,€22.00,18.0%,71,0.0%,€29.64
2453,PYANA VYSHNYA,SMB (AM Segment),18.0%,6,0.0%,€15.08,18.0%,2,0.0%,€13.10
2454,,Missing Segment,17.8%,273,0.0%,€9.78,19.5%,299,0.0%,€10.79
2455,ROLL CLUB,Mid-market (AM Segment),17.8%,420,0.0%,€24.22,17.9%,346,0.0%,€23.98
2456,BUDUSUSHI,SMB (AM Segment),17.0%,26,0.0%,€31.10,17.3%,48,0.0%,€39.30
2457,FI-FI,Mid-market (AM Segment),17.0%,41,0.0%,€24.26,17.0%,25,0.0%,€25.50
2458,PO KUKHLIU,SMB (AM Segment),17.0%,2,0.0%,€9.26,17.0%,4,0.0%,€9.96
2459,SELLFISH,SMB (AM Segment),17.0%,2,0.0%,€22.49,17.0%,3,0.0%,€21.63
2460,FAYNO,SMB (AM Segment),17.0%,16,0.0%,€18.79,17.0%,12,0.0%,€23.26
2461,VARBURGER,Mid-market (AM Segment),17.0%,15,0.0%,€18.14,17.0%,24,0.0%,€17.72
2462,BEEF BURGER,SMB (AM Segment),17.0%,10,0.0%,€17.20,17.0%,12,0.0%,€12.99
2463,SHAURMAMA KYIV,Mid-market (AM Segment),17.0%,77,100.0%,€15.05,16.7%,78,100.0%,€12.45
2464,BROOKS FOOD,Mid-market (AM Segment),17.0%,61,0.0%,€18.91,17.0%,40,0.0%,€20.12
2465,SNIDANOK 24,Mid-market (AM Segment),17.0%,2,0.0%,€19.40,14.4%,1,0.0%,€17.78
2466,BLACK SHEEP,Mid-market (AM Segment),16.9%,34,0.0%,€15.48,16.9%,33,0.0%,€14.52
2467,ART SUSHI,SMB (AM Segment),16.9%,24,0.0%,€42.98,16.7%,38,0.0%,€42.18
2468,MOSHE,Mid-market (AM Segment),16.8%,21,0.0%,€19.60,17.0%,21,0.0%,€16.48
2469,MUZA BY KLOPOTENKO LVIV,Mid-market (AM Segment),16.8%,62,0.0%,€15.75,16.5%,37,0.0%,€17.23
2470,WE SUSHI PRYPORTOVA,Enterprise (AM Segment),16.7%,10,0.0%,€20.08,14.7%,12,0.0%,€19.94
2471,TASTY GREENS,Mid-market (AM Segment),16.6%,13,0.0%,€21.11,16.6%,20,0.0%,€23.67
2472,ISHI SUSHI,SMB (AM Segment),16.6%,13,0.0%,€35.90,16.8%,20,0.0%,€33.83
2473,FAMILIA ITALIANA,SMB (AM Segment),16.6%,5,0.0%,€13.63,17.3%,6,0.0%,€15.61
2474,LEPRUKON,Enterprise (AM Segment),16.5%,49,0.0%,€9.77,16.5%,82,0.0%,€10.13
2475,ZASHKVARKAA,SMB (AM Segment),16.5%,73,0.0%,€17.79,16.5%,105,0.0%,€16.90
2476,CHEESE&WINE,Enterprise (AM Segment),16.5%,28,0.0%,€9.87,16.5%,33,0.0%,€14.12
2477,PROMIN,SMB (AM Segment),16.5%,6,0.0%,€19.78,16.5%,13,0.0%,€20.33
2478,SUSHI VESLA,SMB (AM Segment),16.5%,3,0.0%,€4.50,,,,
2479,SUZIRIA,Mid-market (AM Segment),16.5%,9,0.0%,€24.87,17.0%,10,0.0%,€31.64
2480,IZI BURGER,Mid-market (AM Segment),16.2%,281,0.0%,€15.05,16.6%,262,0.0%,€15.80
2481,PIANA VYSHNIA,SMB (AM Segment),16.2%,1,0.0%,€13.80,,,,
2482,DAIKON SUSHI,SMB (AM Segment),16.1%,32,0.0%,€10.46,18.5%,40,0.0%,€13.28
2483,ZOLOTIY CHEBUREK,Mid-market (AM Segment),16.1%,10,0.0%,€15.18,14.7%,6,0.0%,€12.13
2484,DJONDJOLI,Enterprise (AM Segment),16.0%,41,0.0%,€24.84,16.2%,19,0.0%,€26.58
2485,KOI,SMB (AM Segment),16.0%,7,0.0%,€30.00,16.0%,5,0.0%,€22.91
2486,AZIAT SUSHI,SMB (AM Segment),16.0%,1,0.0%,€18.23,,,,
2487,TERIJAKI HAUSE,Mid-market (AM Segment),15.9%,5,0.0%,€12.91,14.4%,1,0.0%,€7.20
2488,KFC,Enterprise (AM Segment),15.9%,"8,165",100.0%,€16.04,15.9%,"8,569",100.0%,€16.48
2489,MONOПІЦА,Enterprise (AM Segment),15.8%,217,0.0%,€16.08,14.7%,298,0.0%,€17.34
2490,DON PEPERON,Enterprise (AM Segment),15.8%,145,0.0%,€16.33,14.7%,199,0.0%,€16.58
2491,EAT SUSHI,Enterprise (AM Segment),15.8%,437,0.0%,€21.93,14.7%,600,0.0%,€24.24
2492,HELLBOY,Enterprise (AM Segment),15.8%,289,0.0%,€16.34,14.7%,407,0.0%,€17.47
2493,WESUSHI,Enterprise (AM Segment),15.8%,350,0.0%,€20.63,14.7%,596,0.0%,€22.70
2494,OBERTYNI,Mid-market (AM Segment),15.8%,1,0.0%,€14.78,25.6%,1,0.0%,€18.32
2495,DZHONDJOLI,Enterprise (AM Segment),15.8%,2,0.0%,€34.40,,,,
2496,WE SUSHI KORIATOVYCHIV,Enterprise (AM Segment),15.8%,1,0.0%,€29.75,,,,
2497,WE SUSHI STARKN,Enterprise (AM Segment),15.7%,5,0.0%,€17.93,14.7%,2,0.0%,€24.68
2498,WE SUSHI VYNNYCHENKA,Enterprise (AM Segment),15.7%,6,0.0%,€9.70,14.7%,4,0.0%,€11.99
2499,WE SUSHI SOBORNOSTI,Enterprise (AM Segment),15.7%,3,0.0%,€20.91,14.7%,4,0.0%,€14.83
2500,TERTKA SUPER,Mid-market (AM Segment),15.7%,2,0.0%,€34.25,14.7%,6,0.0%,€19.06
2501,SUSHI MASTER TRUDOVA,Enterprise (AM Segment),15.6%,15,0.0%,€16.65,14.7%,8,0.0%,€20.42
2502,DEBI,Mid-market (AM Segment),15.3%,28,0.0%,€21.36,15.4%,26,0.0%,€28.01
2503,LOSOS TA DRUZI,Mid-market (AM Segment),15.3%,1,0.0%,€50.37,14.9%,10,0.0%,€35.26
2504,TARELYA,Mid-market (AM Segment),15.3%,58,0.0%,€22.60,17.0%,33,0.0%,€23.45
2505,NA GACHKU,Mid-market (AM Segment),15.3%,15,0.0%,€39.07,15.3%,15,0.0%,€36.62
2506,BURGER ONE SD,Mid-market (AM Segment),15.3%,3,0.0%,€22.97,,,,
2507,TEMARI SUSHI,Mid-market (AM Segment),15.0%,6,0.0%,€29.45,15.0%,18,0.0%,€21.90
2508,DOUBLE V/DOUBLEV,SMB (AM Segment),15.0%,26,0.0%,€26.23,25.6%,29,0.0%,€28.10
2509,MCDONALD'S,Enterprise (AM Segment),15.0%,"46,038",98.8%,€14.78,15.0%,"43,065",98.7%,€14.43
2510,LONG SHOT,SMB (AM Segment),15.0%,5,0.0%,€12.78,15.0%,7,0.0%,€15.15
2511,REST FOOD,Mid-market (AM Segment),15.0%,4,0.0%,€8.60,14.1%,2,0.0%,€15.62
2512,AMIGOS,Mid-market (AM Segment),15.0%,5,0.0%,€26.65,15.0%,9,0.0%,€16.67
2513,KARABAS VYN,SMB (AM Segment),15.0%,27,0.0%,€23.20,15.0%,22,0.0%,€25.24
2514,FOOD HOUSE POLTAVA,SMB (AM Segment),15.0%,13,0.0%,€6.40,15.0%,12,0.0%,€7.78
2515,GRILLA HOUSE,SMB (AM Segment),15.0%,2,0.0%,€24.56,15.0%,1,0.0%,€42.14
2516,EMBER | CAFE,SMB (AM Segment),15.0%,6,0.0%,€18.55,15.0%,17,0.0%,€19.72
2517,SUSHI OK ZH,SMB (AM Segment),15.0%,1,0.0%,€41.82,15.0%,4,0.0%,€16.14
2518,STABIK,SMB (AM Segment),15.0%,2,0.0%,€17.16,15.0%,1,0.0%,€6.05
2519,CELENTANO OLEKSANDRIA,SMB (AM Segment),15.0%,29,0.0%,€9.71,15.0%,31,0.0%,€9.99
2520,KOFFAN,SMB (AM Segment),15.0%,1,0.0%,€9.25,15.0%,2,0.0%,€14.41
2521,SHAWARMA NA VUHILLI,SMB (AM Segment),15.0%,6,0.0%,€13.50,15.0%,8,0.0%,€9.59
2522,SERVANT,SMB (AM Segment),15.0%,6,0.0%,€17.28,20.0%,8,0.0%,€14.89
2523,SHI SHI ASIAN BISTRO,SMB (AM Segment),15.0%,4,0.0%,€27.41,15.0%,3,0.0%,€15.59
2524,BEERSTORE,SMB (AM Segment),15.0%,1,0.0%,€7.04,20.0%,2,0.0%,€7.59
2525,SENTA SUSHI,SMB (AM Segment),15.0%,7,0.0%,€19.37,15.0%,10,0.0%,€28.37
2526,TEREVENI,SMB (AM Segment),15.0%,4,0.0%,€21.31,15.0%,17,0.0%,€17.24
2527,O’CAKE,SMB (AM Segment),15.0%,42,0.0%,€10.25,15.0%,77,0.0%,€11.35
2528,KOLYSHNI,SMB (AM Segment),15.0%,3,0.0%,€11.99,15.0%,5,0.0%,€11.62
2529,SUN SUSHI,SMB (AM Segment),15.0%,10,0.0%,€14.28,15.0%,12,0.0%,€12.72
2530,PYVO MAN,SMB (AM Segment),15.0%,4,0.0%,€9.84,15.0%,1,0.0%,€8.94
2531,PRAVDA CRAFT MISSION,Mid-market (AM Segment),15.0%,19,0.0%,€17.60,15.0%,17,0.0%,€12.36
2532,PIZZHUB,SMB (AM Segment),15.0%,7,0.0%,€9.87,15.0%,6,0.0%,€13.06
2533,SUSHI KING LV,Mid-market (AM Segment),15.0%,17,0.0%,€19.43,15.0%,16,0.0%,€19.57
2534,BLAGOKYRIN,SMB (AM Segment),15.0%,1,0.0%,€18.70,15.0%,4,0.0%,€12.63
2535,TEMARI SUSHI,SMB (AM Segment),15.0%,1,0.0%,€20.60,15.0%,1,0.0%,€19.33
2536,WITH LOVE,SMB (AM Segment),15.0%,1,0.0%,€9.03,15.0%,1,0.0%,€7.41
2537,GIANNIVINO KYIV,SMB (AM Segment),15.0%,6,0.0%,€23.89,15.0%,5,0.0%,€28.08
2538,UMI KITCHEN,SMB (AM Segment),15.0%,11,0.0%,€17.87,27.0%,9,0.0%,€11.87
2539,GARMONIA SUSHI,SMB (AM Segment),15.0%,18,0.0%,€6.92,15.0%,31,0.0%,€13.74
2540,DUST BY KOFAN,SMB (AM Segment),15.0%,2,0.0%,€18.17,15.0%,3,0.0%,€20.33
2541,NOVA PROVINTSIA,SMB (AM Segment),15.0%,38,0.0%,€18.16,15.0%,25,0.0%,€20.27
2542,PRIME PIZZA,SMB (AM Segment),15.0%,5,0.0%,€10.41,15.0%,6,0.0%,€13.25
2543,KREVETKA SUMY,SMB (AM Segment),15.0%,4,0.0%,€32.16,15.0%,9,0.0%,€20.26
2544,APTEKA_92,SMB (AM Segment),15.0%,1,0.0%,€6.52,15.0%,1,0.0%,€27.69
2545,CHEESE BAKERY,SMB (AM Segment),15.0%,32,0.0%,€14.45,15.0%,43,0.0%,€17.27
2546,DART SUSHI,SMB (AM Segment),15.0%,3,0.0%,€23.20,15.0%,6,0.0%,€19.33
2547,GUSTO UMAMI,SMB (AM Segment),15.0%,2,0.0%,€28.08,,,,
2548,IKURA KROPYVNYTSKYI,SMB (AM Segment),14.6%,7,0.0%,€17.27,15.0%,13,0.0%,€21.79
2549,POVNYJ TUNEC,SMB (AM Segment),14.3%,5,0.0%,€19.28,13.5%,1,0.0%,€34.86
2550,SUSHI MASTER,Enterprise (AM Segment),14.3%,882,0.0%,€20.38,13.4%,"1,167",0.0%,€23.07
2551,SUSHI KING DNIPRO,Mid-market (AM Segment),14.3%,3,0.0%,€19.63,13.1%,2,0.0%,€21.71
2552,SUSHI MASTER KHM,Enterprise (AM Segment),14.3%,6,0.0%,€16.56,13.3%,9,0.0%,€18.60
2553,SUSHI MASTER KORIATOVYCHIV,Enterprise (AM Segment),14.2%,2,0.0%,€16.89,13.3%,7,0.0%,€21.17
2554,SUSHIPAPA,SMB (AM Segment),14.2%,3,0.0%,€15.78,15.0%,5,0.0%,€17.21
2555,RNR,SMB (AM Segment),14.2%,32,0.0%,€18.83,14.0%,24,0.0%,€15.65
2556,PANTAO LUTSK,SMB (AM Segment),14.0%,2,0.0%,€15.73,14.0%,2,0.0%,€17.34
2557,CAFEBOUTIQUE,SMB (AM Segment),13.8%,9,0.0%,€17.16,15.0%,8,0.0%,€30.01
2558,NA KHMARI,Mid-market (AM Segment),13.0%,9,0.0%,€12.93,13.0%,8,0.0%,€15.38
2559,LUB PUB,SMB (AM Segment),13.0%,1,0.0%,€18.50,13.0%,3,0.0%,€14.04
2560,NONSOLO PIZZA,SMB (AM Segment),13.0%,1,0.0%,€25.24,13.0%,3,0.0%,€18.49
2561,DOSTAVKA SUSHI RYS,SMB (AM Segment),13.0%,17,0.0%,€26.60,13.2%,19,0.0%,€22.44
2562,MONOSUSHI,SMB (AM Segment),13.0%,16,0.0%,€20.86,13.0%,25,0.0%,€22.22
2563,HYPEFOOD,SMB (AM Segment),13.0%,11,0.0%,€25.20,12.5%,10,0.0%,€16.80
2564,BLACK BURGER,Mid-market (AM Segment),13.0%,3,0.0%,€26.53,13.3%,5,0.0%,€23.09
2565,GRILL BAR BUFFALO,SMB (AM Segment),12.7%,3,0.0%,€17.47,12.7%,4,0.0%,€21.48
2566,966.UA,Mid-market (AM Segment),12.5%,13,0.0%,€25.77,12.5%,8,0.0%,€26.88
2567,GRAIN OF RICE,SMB (AM Segment),12.0%,6,0.0%,€18.92,12.2%,6,0.0%,€18.98
2568,DANIEL KLM,SMB (AM Segment),12.0%,1,0.0%,€11.25,12.0%,2,0.0%,€18.29
2569,NEW YORK STREET PIZZA,SMB (AM Segment),12.0%,7,0.0%,€19.88,17.3%,9,0.0%,€16.82
2570,SALATEIRA,Mid-market (AM Segment),12.0%,357,100.0%,€17.88,11.9%,301,100.0%,€17.69
2571,CHINA HI,Mid-market (AM Segment),11.9%,295,51.3%,€22.46,10.9%,353,36.8%,€25.01
2572,SALMON SUSHI BEREST,Mid-market (AM Segment),11.6%,31,0.0%,€23.72,11.7%,30,0.0%,€28.28
2573,ZOLOTYI DRAKON,SMB (AM Segment),11.5%,8,0.0%,€29.88,12.2%,2,0.0%,€13.17
2574,MARCELLO KHARKIV,Mid-market (AM Segment),11.5%,60,0.0%,€16.63,12.5%,40,0.0%,€18.03
2575,MAMAMIA,Mid-market (AM Segment),11.0%,36,0.0%,€17.68,11.0%,50,0.0%,€16.50
2576,CURRY ROAD,Mid-market (AM Segment),11.0%,2,0.0%,€18.48,11.0%,3,0.0%,€13.92
2577,PASHTET KRO,SMB (AM Segment),10.0%,4,0.0%,€17.98,10.0%,3,0.0%,€21.56
2578,TIM YAM SUSHI&WOK,SMB (AM Segment),10.0%,4,0.0%,€15.62,10.0%,4,0.0%,€20.49
2579,GARAGE KAMYANSKE,SMB (AM Segment),10.0%,4,0.0%,€12.00,10.0%,2,0.0%,€21.13
2580,MALAHIKA,SMB (AM Segment),10.0%,1,0.0%,€7.80,10.0%,6,0.0%,€23.49
2581,CAFE RYNOK,Mid-market (AM Segment),9.7%,408,0.0%,€14.27,9.4%,446,36.8%,€13.73
2582,DOMINO'S PIZZA,Enterprise (AM Segment),7.5%,"1,010",0.0%,€13.27,7.5%,917,0.0%,€12.95
2583,O'NDE,SMB (AM Segment),6.6%,21,0.0%,€18.49,6.7%,25,0.0%,€12.68
2584,TAISTRA,SMB (AM Segment),6.5%,125,0.0%,€12.43,6.5%,199,0.0%,€12.36
2585,SANTIM,Enterprise (AM Segment),4.8%,108,66.0%,€14.82,5.0%,112,73.9%,€15.59
2586,KOPIYKA MINI,Enterprise (AM Segment),4.7%,96,0.0%,€11.28,4.9%,84,0.0%,€11.69
2587,KOPIYKA,Enterprise (AM Segment),4.7%,324,0.0%,€12.66,4.9%,364,0.0%,€10.93
2588,LOKO,Mid-market (AM Segment),3.3%,18,0.0%,€14.89,3.3%,27,0.0%,€19.66
2589,RUKAVYCHKA,Enterprise (AM Segment),3.0%,271,0.0%,€13.90,3.0%,231,0.0%,€13.19
2590,SIM POROSYAT,SMB (AM Segment),0.0%,6,0.0%,€16.79,0.0%,1,0.0%,€19.07
2591,PORUCH FOOD FRIENDLY,SMB (AM Segment),,,,,39.0%,1,100.0%,€8.58
2592,PIZZA SOLO,SMB (AM Segment),,,,,36.2%,2,100.0%,€11.09
2593,VEZUVIO PIZZA,SMB (AM Segment),,,,,36.0%,1,100.0%,€33.77
2594,CHIVASCOFFEE,SMB (AM Segment),,,,,35.0%,2,0.0%,€12.87
2595,CESTINO PIZZA AND ART,SMB (AM Segment),,,,,35.0%,5,0.0%,€16.64
2596,ZERO CALORII,SMB (AM Segment),,,,,35.0%,2,0.0%,€14.79
2597,SUSHI TOKASH,SMB (AM Segment),,,,,35.0%,1,0.0%,€30.08
2598,YASHI KHARKIV,SMB (AM Segment),,,,,35.0%,3,0.0%,€18.94
2599,KIWISUSHIBAR,SMB (AM Segment),,,,,35.0%,1,0.0%,€16.09
2600,BRONZE,SMB (AM Segment),,,,,35.0%,1,0.0%,€18.68
2601,KAVALER TUTI,SMB (AM Segment),,,,,35.0%,2,0.0%,€9.45
2602,MISTER WILLY,SMB (AM Segment),,,,,35.0%,1,0.0%,€10.69
2603,MLLUNTSI I VAFLI,SMB (AM Segment),,,,,35.0%,1,0.0%,€17.94
2604,NOMER 73,SMB (AM Segment),,,,,35.0%,1,0.0%,€29.29
2605,KHMIL + GRILL,SMB (AM Segment),,,,,35.0%,4,0.0%,€7.00
2606,DOMJAMON,SMB (AM Segment),,,,,35.0%,2,0.0%,€11.02
2607,HMILNYJ,SMB (AM Segment),,,,,35.0%,1,0.0%,€8.95
2608,CHEBUREKY NA 23 SERPNIA,SMB (AM Segment),,,,,35.0%,2,0.0%,€9.50
